Year,Player,Pos,Team Id,WT,HT
2009,Al Horford,FC,18,245,6-10
2010,Al Horford,FC,18,245,6-10
2014,Al Horford,FC,18,245,6-10
2015,Al Horford,FC,18,245,6-10
2000,Allan Houston,G,20,205,6-6
2000,Allen Iverson,G,27,165,6-0
2001,Allen Iverson,G,27,165,6-0
2002,Allen Iverson,G,27,165,6-0
2003,Allen Iverson,G,27,165,6-0
2004,Allen Iverson,G,27,165,6-0
2005,Allen Iverson,G,27,165,6-0
2006,Allen Iverson,G,31,165,6-0
2007,Allen Iverson,G,31,165,6-0
2008,Allen Iverson,G,21,165,6-0
2009,Allen Iverson,G,27,165,6-0
2000,Alonzo Mourning,C,19,240,6-10
2001,Alonzo Mourning,C,19,240,6-10
2004,Amar'e Stoudemire,FC,30,245,6-10
2006,Amar'e Stoudemire,FC,30,245,6-10
2007,Amar'e Stoudemire,FC,30,245,6-10
2008,Amar'e Stoudemire,FC,30,245,6-10
2009,Amar'e Stoudemire,FC,30,245,6-10
2010,Amar'e Stoudemire,FC,20,245,6-10
2015,Andre Drummond,C,21,279,6-11
2011,Andre Iguodala,SF,27,215,6-6
2003,Andrei Kirilenko,PF,9,235,6-9
2011,Andrew Bynum,C,22,285,7-0
2004,Antawn Jamison,F,15,235,6-9
2007,Antawn Jamison,F,15,235,6-9
2013,Anthony Davis,PF,4,253,6-11
2014,Anthony Davis,PF,4,253,6-11
2015,Anthony Davis,PF,4,253,6-11
2016,Anthony Davis,PF,4,253,6-11
2000,Anthony Mason,PF,19,250,6-7
2001,Antoine Walker,F,14,265,6-9
2002,Antoine Walker,F,14,265,6-9
2000,Antonio Davis,FC,11,245,6-9
2000,Antonio McDyess,F,31,245,6-9
2001,Baron Davis,G,17,215,6-3
2003,Baron Davis,G,32,215,6-3
2002,Ben Wallace,FC,21,240,6-9
2003,Ben Wallace,FC,21,240,6-9
2004,Ben Wallace,FC,21,240,6-9
2005,Ben Wallace,FC,21,240,6-9
2010,Blake Griffin,PF,8,251,6-10
2011,Blake Griffin,PF,8,251,6-10
2012,Blake Griffin,PF,8,251,6-10
2013,Blake Griffin,PF,8,251,6-10
2014,Blake Griffin,PF,8,251,6-10
2002,Brad Miller,C,16,261,7-0
2003,Brad Miller,C,6,261,7-0
2007,Brandon Roy,G,23,211,6-6
2008,Brandon Roy,G,23,211,6-6
2009,Brandon Roy,G,23,211,6-6
2012,Brook Lopez,C,26,268,7-0
2006,Carlos Boozer,PF,9,266,6-9
2007,Carlos Boozer,PF,9,266,6-9
2006,Carmelo Anthony,F,31,240,6-8
2007,Carmelo Anthony,F,31,240,6-8
2009,Carmelo Anthony,F,31,240,6-8
2010,Carmelo Anthony,F,31,240,6-8
2011,Carmelo Anthony,F,20,240,6-8
2012,Carmelo Anthony,F,20,240,6-8
2013,Carmelo Anthony,F,20,240,6-8
2014,Carmelo Anthony,F,20,240,6-8
2015,Carmelo Anthony,F,20,240,6-8
2006,Caron Butler,SF,15,228,6-7
2007,Caron Butler,SF,15,228,6-7
2005,Chauncey Billups,G,21,210,6-3
2006,Chauncey Billups,G,21,210,6-3
2007,Chauncey Billups,G,21,210,6-3
2008,Chauncey Billups,G,31,210,6-3
2009,Chauncey Billups,G,31,210,6-3
2005,Chris Bosh,PF,11,235,6-11
2006,Chris Bosh,PF,11,235,6-11
2007,Chris Bosh,PF,11,235,6-11
2008,Chris Bosh,PF,11,235,6-11
2009,Chris Bosh,PF,11,235,6-11
2010,Chris Bosh,PF,19,235,6-11
2011,Chris Bosh,PF,19,235,6-11
2012,Chris Bosh,PF,19,235,6-11
2013,Chris Bosh,PF,19,235,6-11
2014,Chris Bosh,PF,19,235,6-11
2015,Chris Bosh,PF,19,235,6-11
2009,Chris Kaman,C,8,265,7-0
2007,Chris Paul,PG,32,175,6-0
2008,Chris Paul,PG,32,175,6-0
2009,Chris Paul,PG,32,175,6-0
2010,Chris Paul,PG,32,175,6-0
2011,Chris Paul,PG,8,175,6-0
2012,Chris Paul,PG,8,175,6-0
2013,Chris Paul,PG,8,175,6-0
2014,Chris Paul,PG,8,175,6-0
2015,Chris Paul,PG,8,175,6-0
2000,Chris Webber,F-C,6,245,6-9
2001,Chris Webber,F-C,6,245,6-9
2002,Chris Webber,F-C,6,245,6-9
2013,Damian Lillard,G,23,195,6-3
2014,Damian Lillard,G,23,195,6-3
2008,Danny Granger,GF,16,222,6-9
2009,David Lee,FC,20,245,6-9
2012,David Lee,FC,1,245,6-9
