Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
756-93-1854;C;Naypyitaw;Member;Female;Fashion accessories;8335;2;8335;175035;02/02/2019;14:05:00;Credit card;1667;4761904762;8335;95
838-02-1821;C;Naypyitaw;Member;Female;Home and lifestyle;1273;2;1273;26733;22/02/2019;12:10:00;Credit card;2546;4761904762;1273;52
607-76-6216;C;Naypyitaw;Member;Female;Fashion accessories;9249;5;231225;4855725;03/02/2019;16:35:00;Credit card;46245;4761904762;231225;86
549-23-9016;C;Naypyitaw;Member;Female;Food and beverages;1487;2;1487;31227;13/02/2019;18:15:00;Credit card;2974;4761904762;1487;89
400-80-4065;C;Naypyitaw;Member;Male;Health and beauty;6855;4;1371;28791;15/02/2019;20:21:00;Credit card;2742;4761904762;1371;92
759-98-4285;C;Naypyitaw;Member;Female;Health and beauty;8587;7;300545;6311445;27/02/2019;19:01:00;Credit card;60109;4761904762;300545;8
345-68-9016;C;Naypyitaw;Member;Female;Sports and travel;3167;8;12668;266028;01/02/2019;16:19:00;Credit card;25336;4761904762;12668;56
556-41-6224;C;Naypyitaw;Normal;Male;Health and beauty;3364;8;13456;282576;15/02/2019;17:10:00;Credit card;26912;4761904762;13456;93
250-81-7186;C;Naypyitaw;Normal;Female;Electronic accessories;9969;1;49845;1046745;27/02/2019;10:23:00;Credit card;9969;4761904762;49845;8
339-18-7061;C;Naypyitaw;Member;Female;Fashion accessories;9298;2;9298;195258;13/02/2019;15:06:00;Credit card;18596;4761904762;9298;8
503-07-0930;C;Naypyitaw;Member;Male;Sports and travel;5839;7;204365;4291665;23/02/2019;19:49:00;Credit card;40873;4761904762;204365;82
878-30-2331;C;Naypyitaw;Member;Female;Sports and travel;5455;10;27275;572775;03/02/2019;11:22:00;Credit card;5455;4761904762;27275;71
729-46-7422;C;Naypyitaw;Normal;Male;Food and beverages;3589;1;17945;376845;23/02/2019;16:52:00;Credit card;3589;4761904762;17945;79
235-46-8343;C;Naypyitaw;Member;Male;Food and beverages;2766;10;1383;29043;14/02/2019;11:26:00;Credit card;2766;4761904762;1383;89
860-79-0874;C;Naypyitaw;Member;Female;Fashion accessories;993;10;4965;104265;15/02/2019;14:53:00;Credit card;993;4761904762;4965;66
446-47-6729;C;Naypyitaw;Normal;Male;Fashion accessories;9982;2;9982;209622;01/02/2019;18:09:00;Credit card;19964;4761904762;9982;67
883-17-4236;C;Naypyitaw;Normal;Female;Sports and travel;1439;2;1439;30219;03/02/2019;19:44:00;Credit card;2878;4761904762;1439;72
142-72-4741;C;Naypyitaw;Member;Male;Fashion accessories;932;2;932;19572;28/02/2019;18:37:00;Credit card;1864;4761904762;932;6
420-11-4919;C;Naypyitaw;Member;Female;Food and beverages;7139;5;178475;3747975;17/02/2019;19:57:00;Credit card;35695;4761904762;178475;55
139-52-2867;C;Naypyitaw;Normal;Female;Fashion accessories;2251;7;78785;1654485;13/02/2019;10:50:00;Credit card;15757;4761904762;78785;48
488-25-4221;C;Naypyitaw;Member;Female;Food and beverages;3041;1;15205;319305;22/02/2019;10:36:00;Credit card;3041;4761904762;15205;84
225-98-1496;C;Naypyitaw;Normal;Female;Fashion accessories;2702;3;4053;85113;03/02/2019;13:01:00;Credit card;8106;4761904762;4053;71
787-56-0757;C;Naypyitaw;Member;Female;Food and beverages;8036;4;16072;337512;23/02/2019;18:45:00;Credit card;32144;4761904762;16072;83
285-68-5083;C;Naypyitaw;Member;Female;Sports and travel;2474;3;3711;77931;15/02/2019;17:47:00;Credit card;7422;4761904762;3711;10
449-16-6770;A;Yangon;Normal;Male;Health and beauty;5079;5;126975;2666475;19/02/2019;14:53:00;Credit card;25395;4761904762;126975;53
873-14-6353;A;Yangon;Member;Male;Food and beverages;2482;7;8687;182427;16/02/2019;10:33:00;Credit card;17374;4761904762;8687;71
860-73-6466;A;Yangon;Member;Female;Sports and travel;3947;2;3947;82887;03/02/2019;16:16:00;Credit card;7894;4761904762;3947;5
186-43-8965;A;Yangon;Member;Female;Home and lifestyle;4768;2;4768;100128;24/02/2019;10:10:00;Credit card;9536;4761904762;4768;41
380-60-5336;A;Yangon;Normal;Female;Electronic accessories;4026;10;2013;42273;24/02/2019;18:06:00;Credit card;4026;4761904762;2013;5
702-72-0487;A;Yangon;Normal;Female;Electronic accessories;4661;2;4661;97881;26/02/2019;12:28:00;Credit card;9322;4761904762;4661;66
263-12-5321;A;Yangon;Member;Male;Electronic accessories;926;7;3241;68061;27/02/2019;12:52:00;Credit card;6482;4761904762;3241;93
788-21-5741;A;Yangon;Normal;Male;Fashion accessories;4538;3;6807;142947;17/02/2019;13:34:00;Credit card;13614;4761904762;6807;72
868-06-0466;A;Yangon;Member;Male;Electronic accessories;6958;9;31311;657531;19/02/2019;19:38:00;Credit card;62622;4761904762;31311;78
491-38-3499;A;Yangon;Member;Male;Fashion accessories;5545;1;27725;582225;26/02/2019;17:46:00;Credit card;5545;4761904762;27725;49
152-68-2907;A;Yangon;Normal;Male;Food and beverages;522;3;783;16443;15/02/2019;13:30:00;Credit card;1566;4761904762;783;95
308-81-0538;A;Yangon;Normal;Female;Fashion accessories;7305;4;1461;30681;25/02/2019;17:16:00;Credit card;2922;4761904762;1461;49
502-05-1910;A;Yangon;Normal;Male;Health and beauty;6518;3;9777;205317;25/02/2019;20:35:00;Credit card;19554;4761904762;9777;63
405-31-3305;A;Yangon;Member;Male;Fashion accessories;4313;10;21565;452865;02/02/2019;18:31:00;Credit card;4313;4761904762;21565;55
725-56-0833;A;Yangon;Normal;Female;Health and beauty;3232;10;1616;33936;20/02/2019;16:49:00;Credit card;3232;4761904762;1616;10
612-36-5536;A;Yangon;Member;Male;Food and beverages;8096;8;32384;680064;17/02/2019;11:12:00;Credit card;64768;4761904762;32384;74
634-97-8956;A;Yangon;Normal;Male;Food and beverages;329;3;4935;103635;17/02/2019;17:27:00;Credit card;987;4761904762;4935;91
136-08-6195;A;Yangon;Normal;Female;Home and lifestyle;6996;8;27984;587664;15/02/2019;17:01:00;Credit card;55968;4761904762;27984;64
782-95-9291;A;Yangon;Member;Male;Food and beverages;9229;5;230725;4845225;20/02/2019;15:55:00;Credit card;46145;4761904762;230725;9
638-60-7125;A;Yangon;Normal;Female;Electronic accessories;9956;8;39824;836304;14/02/2019;17:03:00;Credit card;79648;4761904762;39824;52
172-42-8274;B;Mandalay;Normal;Female;Electronic accessories;3827;2;3827;80367;03/02/2019;18:18:00;Credit card;7654;4761904762;3827;58
431-66-2305;B;Mandalay;Normal;Female;Electronic accessories;8825;9;397125;8339625;15/02/2019;20:51:00;Credit card;79425;4761904762;397125;76
321-49-7382;B;Mandalay;Member;Male;Sports and travel;8831;1;44155;927255;15/02/2019;17:38:00;Credit card;8831;4761904762;44155;52
311-13-6971;B;Mandalay;Member;Male;Sports and travel;3199;10;15995;335895;20/02/2019;15:18:00;Credit card;3199;4761904762;15995;99
670-71-7306;B;Mandalay;Normal;Male;Sports and travel;4463;6;13389;281169;01/02/2019;20:08:00;Credit card;26778;4761904762;13389;51
109-86-4363;B;Mandalay;Member;Female;Sports and travel;6008;7;21028;441588;14/02/2019;11:36:00;Credit card;42056;4761904762;21028;45
191-29-0321;B;Mandalay;Member;Female;Fashion accessories;1977;10;9885;207585;27/02/2019;18:57:00;Credit card;1977;4761904762;9885;5
752-23-3760;B;Mandalay;Member;Female;Sports and travel;6408;7;22428;470988;19/02/2019;19:29:00;Credit card;44856;4761904762;22428;73
133-77-3154;B;Mandalay;Member;Male;Fashion accessories;6018;4;12036;252756;16/02/2019;18:04:00;Credit card;24072;4761904762;12036;94
834-83-1826;B;Mandalay;Member;Female;Home and lifestyle;8204;5;2051;43071;25/02/2019;17:16:00;Credit card;4102;4761904762;2051;76
173-50-1108;B;Mandalay;Member;Female;Sports and travel;2018;4;4036;84756;13/02/2019;12:14:00;Credit card;8072;4761904762;4036;5
511-54-3087;B;Mandalay;Normal;Male;Sports and travel;8845;1;44225;928725;25/02/2019;16:36:00;Credit card;8845;4761904762;44225;95
710-46-4433;B;Mandalay;Member;Female;Food and beverages;774;9;3483;73143;15/02/2019;14:15:00;Credit card;6966;4761904762;3483;45
