Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
377-79-7592;C;Naypyitaw;Member;Female;Electronic accessories;4484;9;20178;423738;14/01/2019;14:00:00;Credit card;40356;4761904762;20178;75
862-29-5914;C;Naypyitaw;Normal;Female;Sports and travel;2238;1;1119;23499;30/01/2019;17:08:00;Credit card;2238;4761904762;1119;86
704-10-4056;C;Naypyitaw;Member;Male;Health and beauty;6047;3;90705;1904805;14/01/2019;10:55:00;Credit card;18141;4761904762;90705;56
790-38-4466;C;Naypyitaw;Normal;Female;Health and beauty;1099;5;27475;576975;23/01/2019;10:18:00;Credit card;5495;4761904762;27475;93
664-14-2882;C;Naypyitaw;Member;Female;Home and lifestyle;1053;5;26325;552825;30/01/2019;14:43:00;Credit card;5265;4761904762;26325;58
842-29-4695;C;Naypyitaw;Member;Male;Sports and travel;1714;7;5999;125979;16/01/2019;12:07:00;Credit card;11998;4761904762;5999;79
284-54-4231;C;Naypyitaw;Member;Male;Sports and travel;8093;1;40465;849765;19/01/2019;16:08:00;Credit card;8093;4761904762;40465;9
881-41-7302;C;Naypyitaw;Normal;Female;Fashion accessories;6499;1;32495;682395;26/01/2019;10:06:00;Credit card;6499;4761904762;32495;45
243-47-2663;C;Naypyitaw;Member;Male;Electronic accessories;1877;6;5631;118251;28/01/2019;16:43:00;Credit card;11262;4761904762;5631;55
600-38-9738;C;Naypyitaw;Member;Male;Sports and travel;7192;5;1798;37758;17/01/2019;15:05:00;Credit card;3596;4761904762;1798;43
521-18-7827;C;Naypyitaw;Member;Male;Home and lifestyle;3939;5;98475;2067975;22/01/2019;20:46:00;Credit card;19695;4761904762;98475;87
493-65-6248;C;Naypyitaw;Member;Female;Sports and travel;3698;10;1849;38829;01/01/2019;19:48:00;Credit card;3698;4761904762;1849;7
211-30-9270;C;Naypyitaw;Normal;Male;Health and beauty;1741;5;43525;914025;28/01/2019;15:16:00;Credit card;8705;4761904762;43525;49
606-80-4905;C;Naypyitaw;Member;Female;Sports and travel;1915;6;5745;120645;29/01/2019;10:01:00;Credit card;1149;4761904762;5745;68
593-65-1552;C;Naypyitaw;Normal;Female;Home and lifestyle;6981;4;13962;293202;28/01/2019;20:50:00;Credit card;27924;4761904762;13962;59
894-41-5205;C;Naypyitaw;Normal;Female;Food and beverages;4318;8;17272;362712;19/01/2019;19:39:00;Credit card;34544;4761904762;17272;83
731-81-9469;C;Naypyitaw;Member;Female;Sports and travel;898;10;449;9429;23/01/2019;13:00:00;Credit card;898;4761904762;449;54
237-01-6122;C;Naypyitaw;Member;Female;Home and lifestyle;8079;9;363555;7634655;02/01/2019;20:31:00;Credit card;72711;4761904762;363555;95
870-72-4431;C;Naypyitaw;Normal;Female;Health and beauty;9919;6;29757;624897;21/01/2019;14:42:00;Credit card;59514;4761904762;29757;55
732-94-0499;C;Naypyitaw;Normal;Female;Electronic accessories;4165;10;20825;437325;13/01/2019;17:04:00;Credit card;4165;4761904762;20825;54
778-71-5554;C;Naypyitaw;Member;Male;Fashion accessories;1543;1;7715;162015;25/01/2019;15:46:00;Credit card;1543;4761904762;7715;61
195-06-0432;A;Yangon;Member;Male;Home and lifestyle;8101;3;121515;2551815;13/01/2019;12:55:00;Credit card;24303;4761904762;121515;93
397-25-8725;A;Yangon;Member;Female;Health and beauty;3962;9;17829;374409;13/01/2019;17:54:00;Credit card;35658;4761904762;17829;68
804-38-3935;A;Yangon;Member;Male;Electronic accessories;9378;3;14067;295407;30/01/2019;11:32:00;Credit card;28134;4761904762;14067;59
416-17-9926;A;Yangon;Member;Female;Electronic accessories;7422;10;3711;77931;01/01/2019;14:42:00;Credit card;7422;4761904762;3711;43
569-76-2760;A;Yangon;Member;Female;Sports and travel;2201;4;4402;92442;29/01/2019;18:15:00;Credit card;8804;4761904762;4402;66
618-34-8551;A;Yangon;Normal;Female;Sports and travel;9318;2;9318;195678;16/01/2019;18:41:00;Credit card;18636;4761904762;9318;85
787-87-2010;A;Yangon;Member;Male;Health and beauty;555;4;111;2331;20/01/2019;15:48:00;Credit card;222;4761904762;111;66
247-11-2470;A;Yangon;Member;Female;Fashion accessories;2232;4;4464;93744;03/01/2019;16:23:00;Credit card;8928;4761904762;4464;44
482-17-1179;A;Yangon;Member;Male;Electronic accessories;1194;3;1791;37611;19/01/2019;12:47:00;Credit card;3582;4761904762;1791;81
811-03-8790;A;Yangon;Normal;Female;Electronic accessories;4548;10;2274;47754;03/01/2019;10:22:00;Credit card;4548;4761904762;2274;48
589-02-8023;A;Yangon;Member;Male;Food and beverages;8377;2;8377;175917;15/01/2019;10:54:00;Credit card;16754;4761904762;8377;7
149-61-1929;A;Yangon;Normal;Male;Sports and travel;6419;10;32095;673995;19/01/2019;14:08:00;Credit card;6419;4761904762;32095;67
