Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
859-97-6048;C;Naypyitaw;Member;Male;Electronic accessories;8425;2;8425;176925;26/03/2019;14:13:00;Credit card;1685;4761904762;8425;53
722-13-2115;C;Naypyitaw;Member;Male;Sports and travel;4285;1;21425;449925;14/03/2019;15:36:00;Credit card;4285;4761904762;21425;93
115-38-7388;C;Naypyitaw;Member;Female;Fashion accessories;1018;8;4072;85512;30/03/2019;12:51:00;Credit card;8144;4761904762;4072;95
386-27-7606;C;Naypyitaw;Member;Female;Home and lifestyle;812;7;2842;59682;23/03/2019;15:59:00;Credit card;5684;4761904762;2842;81
131-15-8856;C;Naypyitaw;Member;Female;Food and beverages;7252;8;29008;609168;30/03/2019;19:26:00;Credit card;58016;4761904762;29008;4
544-32-5024;C;Naypyitaw;Member;Female;Food and beverages;4979;4;9958;209118;28/03/2019;19:16:00;Credit card;19916;4761904762;9958;64
302-15-2162;C;Naypyitaw;Member;Male;Health and beauty;4653;6;13959;293139;03/03/2019;10:54:00;Credit card;27918;4761904762;13959;43
718-57-9773;C;Naypyitaw;Normal;Female;Sports and travel;4933;10;24665;517965;02/03/2019;16:40:00;Credit card;4933;4761904762;24665;94
343-87-0864;C;Naypyitaw;Member;Male;Health and beauty;7588;1;3794;79674;01/03/2019;10:30:00;Credit card;7588;4761904762;3794;71
110-05-6330;C;Naypyitaw;Normal;Female;Food and beverages;3943;6;11829;248409;25/03/2019;20:18:00;Credit card;23658;4761904762;11829;94
633-09-3463;C;Naypyitaw;Normal;Female;Electronic accessories;4765;3;71475;1500975;28/03/2019;12:58:00;Credit card;14295;4761904762;71475;95
808-65-0703;C;Naypyitaw;Normal;Male;Home and lifestyle;3547;4;7094;148974;14/03/2019;17:22:00;Credit card;14188;4761904762;7094;69
662-47-5456;C;Naypyitaw;Member;Male;Fashion accessories;3519;10;17595;369495;17/03/2019;19:06:00;Credit card;3519;4761904762;17595;84
568-90-5112;C;Naypyitaw;Normal;Male;Health and beauty;6614;4;13228;277788;19/03/2019;12:46:00;Credit card;26456;4761904762;13228;56
